Country,TopoCountry,CentroidCountry,Interest
Poland,Poland,Poland,100
Puerto Rico,Puerto Rico,Puerto Rico,99
United Kingdom,United Kingdom,United Kingdom,97
Italy,Italy,Italy,87
Czechia,Czechia,Czech Republic,82
United States,United States of America,United States,77
Greece,Greece,Greece,76
Portugal,Portugal,Portugal,74
Spain,Spain,Spain,71
Chile,Chile,Chile,70
Ukraine,Ukraine,Ukraine,57
Mexico,Mexico,Mexico,56
Canada,Canada,Canada,54
Hungary,Hungary,Hungary,54
Australia,Australia,Australia,53
Slovakia,Slovakia,Slovakia,53
Costa Rica,Costa Rica,Costa Rica,53
Ireland,Ireland,Ireland,50
Netherlands,Netherlands,Netherlands,49
Lithuania,Lithuania,Lithuania,48
Romania,Romania,Romania,46
St Helena,Saint Helena,Saint Helena,46
New Zealand,New Zealand,New Zealand,46
Serbia,Serbia,Serbia,45
Philippines,Philippines,Philippines,44
Brazil,Brazil,Brazil,44
Bulgaria,Bulgaria,Bulgaria,42
Germany,Germany,Germany,37
Belgium,Belgium,Belgium,37
Sweden,Sweden,Sweden,37
Croatia,Croatia,Croatia,35
Peru,Peru,Peru,33
Denmark,Denmark,Denmark,33
Singapore,Singapore,Singapore,30
United Arab Emirates,United Arab Emirates,United Arab Emirates,29
Guatemala,Guatemala,Guatemala,28
Israel,Israel,Israel,28
Austria,Austria,Austria,27
Norway,Norway,Norway,26
Argentina,Argentina,Argentina,25
Kazakhstan,Kazakhstan,Kazakhstan,25
Finland,Finland,Finland,25
France,France,France,25
Colombia,Colombia,Colombia,24
Russia,Russia,Russia,24
Switzerland,Switzerland,Switzerland,23
Malaysia,Malaysia,Malaysia,22
Ecuador,Ecuador,Ecuador,20
South Africa,South Africa,South Africa,16
Saudi Arabia,Saudi Arabia,Saudi Arabia,14
Venezuela,Venezuela,Venezuela,14
Türkiye,Turkey,Turkey,14
Thailand,Thailand,Thailand,7
Egypt,Egypt,Egypt,7
South Korea,South Korea,South Korea,6
Indonesia,Indonesia,Indonesia,5
Vietnam,Vietnam,Vietnam,4
India,India,India,2
Japan,Japan,Japan,1
