Category: All categories

Country,Funko Pop: (13/09/2025 - 13/09/2026)
Poland,100
Puerto Rico,99
Malta,
United Kingdom,97
Italy,87
Andorra,
Czechia,82
Gibraltar,
United States,77
Greece,76
Portugal,74
Spain,71
Chile,70
Northern Mariana Islands,
Guam,
San Marino,
Ukraine,57
Mexico,56
Latvia,
Caribbean Netherlands,
Canada,54
Hungary,54
Australia,53
Slovakia,53
Costa Rica,53
Brunei,
Isle of Man,
Estonia,
Ireland,50
Netherlands,49
Lithuania,48
Romania,46
St Helena,46
New Zealand,46
Cyprus,
Serbia,45
Philippines,44
Brazil,44
Jersey,
Bulgaria,42
Iceland,
Luxembourg,
Germany,37
Belgium,37
North Macedonia,
Sweden,37
Moldova,
Croatia,35
Kuwait,
Bahrain,
Peru,33
Denmark,33
Uruguay,
Faroe Islands,
Georgia,
Singapore,30
US Virgin Islands,
United Arab Emirates,29
Belize,
Guatemala,28
Israel,28
Montenegro,
Paraguay,
Austria,27
Panama,
Norway,26
Kosovo,
Guernsey,
Argentina,25
Bosnia & Herzegovina,
Kazakhstan,25
El Salvador,
Finland,25
France,25
Albania,
Colombia,24
Russia,24
Trinidad & Tobago,
Switzerland,23
Slovenia,
Qatar,
Armenia,
Lebanon,
Malaysia,22
Cayman Islands,
Honduras,
Aruba,
Ecuador,20
Mongolia,
Nicaragua,
Belarus,
Azerbaijan,
New Caledonia,
South Africa,16
Barbados,
Bahamas,
Maldives,
St Lucia,
Saudi Arabia,14
Suriname,
Venezuela,14
Türkiye,14
Bolivia,
Mauritius,
Dominican Republic,
Macao,
Cape Verde,
Kyrgyzstan,
Palestine,
Guyana,
Réunion,
Cuba,
Oman,
Jamaica,
Jordan,
Bhutan,
Tunisia,
China,
Thailand,7
Hong Kong,
Cambodia,
Egypt,7
Morocco,
Iraq,
Uzbekistan,
Libya,
Laos,
South Korea,6
Indonesia,5
Turkmenistan,
Myanmar (Burma),
Algeria,
Botswana,
Vietnam,4
Papua New Guinea,
Namibia,
Sri Lanka,
Tajikistan,
Bangladesh,
Somalia,
Taiwan,
Angola,
Pakistan,
Haiti,
Nepal,
Ethiopia,
Mozambique,
India,2
Senegal,
Yemen,
Kenya,
Afghanistan,
Zimbabwe,
Nigeria,
Japan,1
Zambia,
Iran,
Syria,
Ghana,
Cameroon,
Côte d’Ivoire,
Tanzania,
Uganda,
Dominica,
Madagascar,
Niue,
Norfolk Island,
Niger,
Mayotte,
Nauru,
Heard & McDonald Islands,
French Guiana,
Malawi,
Greenland,
Pitcairn Islands,
Grenada,
Equatorial Guinea,
Palau,
Guinea-Bissau,
Gambia,
Guadeloupe,
North Korea,
Guinea,
Kiribati,
Gabon,
French Polynesia,
Micronesia,
Falkland Islands (Islas Malvinas),
Fiji,
Martinique,
Rwanda,
Western Sahara,
Sudan,
Montserrat,
Eritrea,
South Georgia & South Sandwich Islands,
Mauritania,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Djibouti,
Christmas Island,
Curaçao,
St Pierre & Miquelon,
Comoros,
South Sudan,
São Tomé & Príncipe,
Cook Islands,
Congo - Brazzaville,
Congo - Kinshasa,
St Kitts & Nevis,
Eswatini,
Sint Maarten,
Seychelles,
Liechtenstein,
Turks & Caicos Islands,
Chad,
Togo,
Lesotho,
Cocos (Keeling) Islands,
Tokelau,
Central African Republic,
Timor-Leste,
Tonga,
Bouvet Island,
Bermuda,
St Barthélemy,
Tuvalu,
Burkina Faso,
St Martin,
Mali,
Benin,
US Outlying Islands,
Burundi,
Antigua & Barbuda,
French Southern Territories,
Vatican City,
St Vincent & the Grenadines,
Antarctica,
British Virgin Islands,
American Samoa,
Åland Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Monaco,
Liberia,
Marshall Islands,
British Indian Ocean Territory,
